terrain_name,source_id,atlas_coords,terrain_mask,connection_type,valid,warning
stone,1,"2,0",206,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,0",140,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,0",78,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,0",141,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,1",5,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,1",103,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,1",255,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,1",157,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,1",39,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,1",27,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,2",1,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,2",35,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,2",59,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,2",25,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,2",71,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,2",142,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,3",0,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,3",2,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,3",10,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,3",8,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,3",43,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,3",29,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,4",191,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,4",127,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,4",6,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,4",12,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,4",207,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,4",159,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,5",223,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,5",239,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,5",3,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,5",9,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,5",111,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,5",63,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,6",79,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,6",143,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,6",11,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,6",7,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,6",175,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"5,6",95,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"0,7",47,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"1,7",31,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"2,7",13,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"3,7",14,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
stone,1,"4,7",15,blob_8_neighbor,true,"runtime 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,0",4,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,0",70,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,0",206,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,0",140,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,0",78,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,0",141,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,1",5,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,1",103,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,1",255,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,1",157,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,1",39,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,1",27,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,2",1,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,2",35,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,2",59,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,2",25,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,2",71,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,2",142,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,3",0,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,3",2,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,3",10,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,3",8,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,3",43,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,3",29,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,4",191,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,4",127,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,4",6,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,4",12,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,4",207,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,4",159,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,5",223,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,5",239,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,5",3,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,5",9,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,5",111,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,5",63,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,6",79,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,6",143,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,6",11,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,6",7,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,6",175,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"5,6",95,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"0,7",47,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"1,7",31,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"2,7",13,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"3,7",14,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
water,0,"4,7",15,blob_8_neighbor,true,"runtime water layer with 47-tile resolver; Terrain Peering Bits not configured"
